affinity,SiO2_wt_percent,TiO2_wt_percent,Al2O3_wt_percent,Fe2O3_wt_percent,FeO_wt_percent,CaO_wt_percent,MgO_wt_percent,MnO_wt_percent,K2O_wt_percent,Na2O_wt_percent,P2O5(wt%),La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,143Nd/144Nd,87Sr/86Sr,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
MORB,50.72,1.65,14.46,NA,NA,11.71,6.58,0.2,0.06,2.47,0.09,NA,NA,NA,9.724,3.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,383,145,42,53,43,87,NA,0.39,98.3,35,97,2,NA,NA,NA,NA,NA,0.346,NA,NA,0.513114,0.70261,18.567,15.515,38.085
MORB,50.75,1.25,14.73,1.85,7.69,10.79,8.36,0.17,0.28,2.51,0.13,5.3,NA,NA,10.6,3.2,1.3,NA,0.9,NA,NA,NA,NA,4.1,0.44,40,NA,399,50,155,NA,NA,NA,4.13,104,NA,NA,NA,NA,0.108,41,NA,NA,NA,NA,NA,0.513057,0.703421,NA,NA,NA
MORB,50.75,1.22,15.64,1.08,7.58,11.19,9.11,0.15,0.1,2.79,0.13,2.8,9.1,NA,8.5,2.9,1,NA,0.7,NA,NA,NA,0.45,2.9,0.42,35,246,381,42,172,NA,NA,NA,1.09,111,NA,NA,NA,NA,0.014,13,NA,NA,NA,NA,NA,NA,0.70233,NA,NA,NA
MORB,50.75,1.29,16.02,1.75,6.73,12.19,7.7,0.15,0.39,2.46,0.16,11.4,26.4,NA,15.3,3.4,1.3,NA,0.7,NA,NA,NA,0.53,2.3,0.41,41,252,257,41,112,NA,NA,NA,7.13,166,NA,NA,NA,NA,0.098,76,NA,NA,NA,NA,NA,0.512888,0.703402,NA,NA,NA
MORB,50.75,1.47,15.37,1.63,8.06,11.64,7.06,0.18,0.55,2.44,0.18,12.1,27.2,NA,14.9,3.9,1.3,NA,0.8,NA,NA,NA,0.65,2.7,0.4,39,302,91,40,59,NA,NA,NA,9.6,174,NA,NA,NA,NA,0.107,114,NA,NA,NA,NA,NA,0.512917,0.70326,NA,NA,NA
MORB,50.8,1.84,14,2.5,8.86,11.2,7.05,0.2,0.3,2.88,0.21,6.2,19,NA,12,3.9,1.47,4.6,NA,6.4,1.3,4.1,NA,3.5,0.57,NA,NA,199,NA,55,NA,101,17,6,141,41,135,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.81,0.98,14.12,0.93,8.89,12.12,9.09,0.17,0.1,1.93,0.1,3.8,10,NA,7.4,2.5,1,NA,0.7,NA,NA,NA,0.47,2.9,0.52,48,285,494,52,163,NA,NA,NA,2.63,65,NA,NA,NA,NA,0.03,31,NA,NA,NA,NA,NA,0.513033,0.703098,NA,NA,NA
MORB,50.82,1.05,15.21,1.14,8.53,12.23,8.55,0.16,0.18,1.99,0.12,5.3,12.9,NA,8.7,2.6,0.9,NA,0.6,NA,NA,NA,0.45,2.7,0.41,41,266,377,44,136,NA,NA,NA,2.81,79,NA,NA,NA,NA,0.032,37,NA,NA,NA,NA,NA,NA,0.70305,NA,NA,NA
MORB,50.83,1.33,15.79,2.71,7.09,11.64,8.26,0.17,0.13,2.31,0.14,4.88,12.1,NA,9.6,3.46,1.25,5,0.81,NA,NA,NA,0.56,3.36,0.48,NA,282,321,45,147,72,81,NA,3.2,117,35,99,3.3,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,18.084,15.549,38.176
MORB,50.86,1.12,15.17,1.45,8.28,12.53,7.78,0.18,0.2,2.19,0.14,5.8,NA,NA,NA,2.5,0.9,NA,0.6,NA,NA,NA,NA,2.4,0.4,42,284,126,46,63,NA,NA,NA,5.12,101,NA,NA,NA,NA,0.057,57,NA,NA,NA,NA,NA,NA,0.7029,NA,NA,NA
MORB,50.86,1.61,15.73,3.01,6.89,11.07,7.59,0.18,0.29,2.71,0.19,7.33,21.8,NA,15.7,5.34,1.82,NA,1.07,7.2,NA,NA,0.72,4.4,0.6,NA,288,249,41,123,61,80,NA,6.6,143,41,129,8.1,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.91,1.31,15.66,1.41,7.64,11.99,7.51,0.17,0.45,2.14,0.17,11.2,26.1,NA,13.7,3.6,1.2,NA,0.8,NA,NA,NA,0.48,2.5,0.32,41,268,104,43,62,NA,NA,NA,10.1,181,NA,NA,NA,NA,0.114,127,NA,NA,NA,NA,NA,0.51301,0.703111,NA,NA,NA
MORB,50.91,1.42,14.66,NA,NA,11.92,7.37,0.19,0.07,2.3,0.09,NA,NA,NA,8.493,3.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,354,223,43,68,49,82,NA,0.41,97,33,84,2,NA,NA,NA,NA,NA,0.315,NA,NA,0.513122,0.70264,18.561,15.508,38.123
MORB,51.13,1.37,14.65,NA,NA,11.07,9.61,0.16,0.26,2.41,0.18,6.2,NA,NA,10.66,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,142.4,28,88.7,11.6,NA,NA,NA,2.3,0.67,NA,0.47,NA,0.513097,0.702625,NA,NA,NA
MORB,51.13,1.41,14.53,2.34,9.03,11.2,6.25,0.19,0.44,2.46,0.21,13.4,NA,NA,13.3,3.2,1.5,NA,1,NA,NA,NA,NA,3.1,0.58,46,NA,51,40,38,NA,NA,NA,10.9,143,NA,NA,NA,NA,0.143,127,NA,NA,NA,NA,NA,0.513027,0.703168,NA,NA,NA
MORB,51.18,1.69,16.01,3.53,6.22,11.49,6.9,0.16,0.43,2.74,0.15,6.92,17.8,NA,13.6,4.64,1.55,6,0.88,NA,NA,NA,0.67,3.46,0.46,NA,302,225,44,132,70,82,NA,10.3,155,39,121,8.6,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,51.3,1.71,15.31,1.32,8.83,11.22,5.05,0.13,0.51,2.92,0.22,NA,NA,NA,13.74,4.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,305,259,37,67,44,93,NA,9.47,134.3,41,128,11.4,NA,NA,59,NA,NA,0.895,NA,NA,0.513059,0.70288,18.275,15.53,38.063
MORB,51.33,1.68,14.8,NA,NA,10.75,7.4,0.17,0.74,2.58,0.24,11.7,NA,NA,20.92,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.58,232.5,30,133.3,20.5,NA,NA,108,3.1,1.32,NA,1.1,NA,0.512964,0.702881,18.777,15.537,38.37
MORB,51.76,1.71,14.89,NA,NA,10.83,7.32,0.16,0.69,2.77,0.26,12,NA,NA,16.56,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,217.6,29,133.7,19.5,NA,NA,129,3.1,1.38,NA,1.28,NA,0.512976,0.70279,19.061,15.552,38.709
MORB,51.85,1.74,15.66,1.84,7.49,10.5,5.96,0.16,1,3.18,0.33,24.7,52,NA,27.3,6.3,1.9,NA,1.1,NA,NA,NA,0.97,2.9,0.46,35,277,120,37,61,NA,NA,NA,22.5,281,NA,NA,NA,NA,0.283,268,NA,NA,NA,NA,NA,0.512931,0.703402,NA,NA,NA
MORB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,7.23,NA,5.92,2.39,0.93,NA,0.61,NA,NA,NA,NA,2.57,0.4,34,193,332,NA,140,83,75,NA,NA,109,25,73,NA,NA,NA,14,1.82,0.14,NA,0.15,0.11,NA,NA,NA,NA,NA
MORB,NA,1.1,NA,NA,NA,NA,NA,NA,0.2,2.8,NA,NA,10.6,NA,8.08,2.74,1.06,3.74,NA,4.38,NA,2.75,NA,2.72,0.445,50,190,400,34,110,80,NA,20,2.47,126,33,79,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,0.70298,NA,NA,NA
MORB,NA,1.29,NA,NA,NA,NA,NA,NA,0.24,2.51,NA,NA,8.81,NA,7.87,2.67,1.01,3.64,NA,4.46,NA,2.8,NA,2.73,0.424,60,250,340,36,94,80,NA,20,2.71,111,37,80,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,0.70294,NA,NA,NA
MORB,45.4,0.45,10.8,1,8.6,8.95,22.6,0.15,0.06,1.1,NA,1.41,NA,NA,NA,NA,0.34,NA,0.2,NA,NA,NA,NA,NA,NA,18.2,140,1640,76,900,85,50,NA,NA,NA,NA,33,NA,NA,NA,NA,0.62,0.15,NA,0.141,0.074,NA,0.70287,18.73,15.53,38.2
MORB,46.63,0.83,16.16,NA,NA,11.06,11.57,0.18,0.05,1.84,0.04,NA,NA,NA,4.108,1.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,202,595,61,346,105,71,NA,0.05,71,25,39,1,NA,NA,NA,NA,NA,0.108,NA,NA,0.513211,NA,NA,NA,NA
MORB,48.4,0.81,15.3,0.39,8.33,11.8,11.2,0.15,0.11,1.84,0.1,2.68,6.54,NA,4.59,1.39,0.51,1.88,NA,2.26,NA,1.45,NA,1.38,NA,33,167,580,51,262,81,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513187,0.70298,NA,NA,NA
MORB,48.9,1.9,14.4,NA,NA,11.6,7,NA,0.08,2.28,NA,3.72,12.1,NA,11.3,4.12,1.42,5.84,NA,7.39,NA,4.53,NA,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,80,NA,NA,NA,NA,0.014,12.4,NA,NA,0.403,0.188,0.116,NA,NA,18.339,15.462,37.714
MORB,49.31,1.26,15.63,10.31,NA,11.73,8,0.17,0.06,2.4,0.13,2.11,NA,NA,7.45,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,101.1,NA,71,1.28,NA,NA,NA,NA,NA,NA,NA,NA,0.513224,0.702523,18.181,15.489,37.7
MORB,49.36,2.59,13.47,NA,NA,9.59,5.64,0.24,0.15,2.88,0.23,NA,NA,NA,17.67,6.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,510,60,44,42,56,131,NA,1.98,99.67,64,178,5,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA
MORB,49.4,1.65,16.7,NA,NA,11.8,6,NA,0.6,2.52,NA,13.8,29.3,NA,15.8,3.92,1.37,4.16,NA,4.63,NA,2.67,NA,2.51,NA,NA,NA,NA,NA,147,NA,NA,NA,5.8,317,NA,NA,NA,NA,0.14,120,NA,NA,1.286,1.209,0.509,NA,NA,18.649,15.486,38.037
MORB,49.42,1.3,14.77,10.78,NA,11.5,8.63,0.18,0.08,2.4,0.14,2.31,NA,NA,7.73,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,94,NA,77,1.6,NA,NA,NA,NA,NA,NA,NA,NA,0.513191,0.702666,18.251,15.52,37.846
MORB,49.51,1.34,15.65,NA,NA,12.13,8.43,0.17,0.09,2.04,0.11,NA,NA,NA,7.7,2.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,319,391,46,132,84,79,NA,0.92,104.4,31,81,3,NA,NA,NA,NA,NA,0.254,NA,NA,0.51311,NA,NA,NA,NA
MORB,49.58,1.25,15.9,NA,NA,11.85,8.32,0.16,0.07,2.71,0.1,NA,NA,NA,7.188,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,270,365,41,122,73,70,NA,0.23,98.42,30,82,2,NA,NA,NA,NA,NA,0.258,NA,NA,0.51322,NA,NA,NA,NA
MORB,49.61,1.96,13.87,NA,NA,10.82,6.69,0.21,0.23,2.68,0.19,NA,NA,NA,12.56,4.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,390,63,46,52,76,102,NA,2.52,106.5,47,135,6,NA,NA,NA,NA,NA,0.464,NA,NA,NA,NA,NA,NA,NA
MORB,49.7,1.53,15.4,NA,NA,11.4,7.1,NA,0.1,2.29,NA,4.12,12.2,NA,10.7,3.8,1.33,5.23,NA,7.03,NA,3.98,NA,3.83,NA,NA,NA,NA,NA,78,NA,NA,NA,0.91,99,NA,NA,NA,NA,0.013,18,NA,NA,0.562,0.342,0.166,NA,NA,18.345,15.476,37.805
MORB,49.75,1.69,14.24,NA,NA,11.41,7.27,0.2,0.1,2.32,0.13,NA,NA,NA,9.024,3.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,386,187,46,72,78,96,NA,0.57,93.17,40,102,2,NA,NA,NA,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA
MORB,49.76,2.1,13.77,NA,NA,10.82,6.6,0.22,0.12,2.43,0.18,NA,NA,NA,13.23,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,456,206,45,70,63,112,NA,1.19,100.9,51,136,4,NA,NA,NA,NA,NA,0.436,NA,NA,0.513208,NA,NA,NA,NA
MORB,49.8,2.94,13.2,NA,NA,9.55,5.86,NA,0.22,2.9,NA,7.7,23.8,NA,20.5,6.82,2.23,8.83,NA,11.1,NA,6.82,NA,6.57,NA,NA,NA,NA,NA,33,NA,NA,NA,1.97,100,NA,NA,NA,NA,0.022,20.2,NA,NA,0.357,0.466,0.267,NA,NA,18.518,15.492,37.893
MORB,49.83,2.13,13.73,NA,NA,10.45,6.49,0.22,0.17,3.03,0.2,NA,NA,NA,10.33,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,448,54,42,51,69,110,NA,3.49,112,51,153,6,NA,NA,NA,NA,NA,0.369,NA,NA,NA,NA,NA,NA,NA
MORB,49.88,2.12,13.83,NA,NA,10.9,6.6,0.21,0.13,2.49,0.19,NA,NA,NA,12.55,4.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,440,201,44,66,65,111,NA,1.2,97.9,52,142,4,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,NA,NA
MORB,49.9,1.17,14.51,10.29,NA,11.78,8.98,0.16,0.31,2.15,0.12,7.4,NA,NA,NA,NA,0.88,NA,0.5,NA,NA,NA,NA,NA,NA,34.7,275,448,43,136,NA,70,NA,7.7,137,26,76,13.8,NA,0.09,90,1.92,0.83,NA,0.87,0.28,NA,NA,NA,NA,NA
MORB,49.9,2.2,13.69,NA,NA,10.62,6.59,0.22,0.14,2.82,0.2,NA,NA,NA,14.06,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,465,158,44,70,57,115,NA,1.3,113.9,53,151,4,NA,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,NA
MORB,49.93,1.57,14.93,NA,NA,11.64,7.68,0.18,0.19,2.39,0.15,NA,NA,NA,9.502,3.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,321,295,43,95,73,84,NA,2.06,122.5,35,105,5,NA,NA,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA
MORB,50.01,1.81,13.94,NA,NA,11.33,7.02,0.22,0.11,2.35,0.15,NA,NA,NA,9.522,3.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,406,140,47,60,79,104,NA,1.01,90.12,43,112,3,NA,NA,NA,NA,NA,0.314,NA,NA,NA,NA,NA,NA,NA
MORB,50.08,1.41,17.1,2.68,6.65,11.8,6.32,0.11,0.52,2.9,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,410,230,49,77,81,92,NA,7.98,118,28,87,10.9,NA,0.245,78,NA,NA,5,NA,NA,NA,0.70331,NA,NA,NA
MORB,50.13,1.78,14.11,NA,NA,11.48,7.14,0.2,0.08,2.34,0.14,NA,NA,NA,10.9,4.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,401,229,45,81,70,95,NA,0.67,93.67,43,108,3,NA,NA,NA,NA,NA,0.338,NA,NA,NA,NA,NA,NA,NA
MORB,50.14,1.31,15.35,1.35,7.96,11.31,8.65,0.17,0.24,2.36,0.15,7.1,17,NA,10.6,3.2,1.2,NA,0.8,NA,NA,NA,0.68,2.6,0.4,NA,289,NA,NA,147,NA,NA,NA,4.91,124,NA,NA,NA,NA,0.066,81,NA,NA,NA,NA,NA,NA,0.70322,NA,NA,NA
MORB,50.16,1.76,14.89,NA,NA,11.57,7.39,0.18,0.14,2.63,0.11,NA,NA,NA,11.42,4.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,342,323,43,91,44,80,NA,0.5,119.7,37,118,3,NA,NA,NA,NA,NA,0.378,NA,NA,0.513211,NA,NA,NA,NA
MORB,50.2,1.37,14.82,NA,NA,11.75,7.76,0.18,0.08,2.97,0.12,NA,NA,NA,8.505,3.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,309,344,40,79,70,76,NA,0.22,97.8,34,92,2,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA
MORB,50.2,1.63,14.81,NA,NA,11.78,7.74,0.19,0.06,2.33,0.13,NA,NA,NA,9.195,3.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,363,239,46,95,80,88,NA,0.44,96.63,37,93,2,NA,NA,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA
MORB,50.33,1.32,15.18,NA,NA,12.2,8.09,0.17,0.11,2.55,0.12,NA,NA,NA,7.831,2.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,301,347,47,102,74,77,NA,1.04,107,30,80,2,NA,NA,NA,NA,NA,0.287,NA,NA,NA,NA,NA,NA,NA
MORB,50.41,1.02,15.34,NA,NA,12.44,8.36,0.17,0.02,2,0.08,NA,NA,NA,5.983,2.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,291,364,44,105,75,77,NA,0.1,75.39,28,54,1,NA,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA,NA
MORB,50.5,1.8,13.9,NA,NA,10.92,6.8,0.21,0.12,2.48,0.15,NA,NA,NA,11.54,4.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,403,86,45,54,67,102,NA,1.21,103.8,45,118,3,NA,NA,NA,NA,NA,0.389,NA,NA,0.513207,NA,NA,NA,NA
MORB,50.57,2.05,13.48,NA,NA,10.56,6.47,0.21,0.06,2.58,0.24,NA,NA,NA,12.05,4.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,434,88,47,56,53,112,NA,0.51,81.68,51,121,3,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA
MORB,51.21,1.85,15.23,NA,NA,9.57,5.13,0.21,0.34,3.06,0.46,NA,NA,NA,31.79,10.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,241,161,34,52,59,129,NA,5.01,121.3,101,346,10,NA,NA,NA,NA,NA,0.954,NA,NA,NA,NA,NA,NA,NA
MORB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.62,30.05,NA,16.88,4.15,1.448,5.92,0.894,4.82,NA,NA,NA,2.74,0.379,35,291,240,39,NA,NA,NA,NA,10.12,217.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512946,0.702736,19.155,15.568,38.78
MORB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,18.9,NA,11.2,3.2,1.2,NA,0.81,NA,NA,NA,NA,2.8,0.435,NA,NA,NA,NA,NA,NA,NA,NA,6.74,107,NA,NA,NA,NA,0.069,68,2.316,NA,NA,NA,NA,0.513088,0.702995,NA,NA,NA
MORB,48.6,1.12,15.6,10.76,NA,11.23,9.6,0.17,0.17,2.3,0.1,3,NA,NA,NA,NA,1.04,NA,0.54,NA,NA,NA,NA,NA,NA,NA,209,447,NA,227,NA,NA,NA,NA,NA,24.6,78,2.5,NA,NA,NA,1.6,0.22,NA,0.26,NA,NA,NA,NA,NA,NA
MORB,49.1,1.24,16.5,2.43,6.4,12.2,7.46,0.14,0.34,2.5,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,400,250,60,120,70,75,48,NA,95,NA,120,NA,NA,NA,75,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
MORB,49.17,1.44,14.69,NA,NA,12.31,7.4,0.2,0.19,2.62,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,287,NA,51,NA,92,17,2.1,150,27.6,94,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7025,NA,NA,NA
MORB,49.25,1.12,16.57,3.04,5.16,12.42,7.29,0.16,0.17,2.77,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,330,40,75,75,140,17,NA,135,NA,85,NA,NA,NA,7,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
MORB,49.31,0.99,14.94,1.14,7.57,13.15,8.23,0.16,0.29,2.17,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,242,159,50.1,98.8,88.2,28.7,14.9,5.6,135,20.5,56.9,10.3,NA,NA,61.1,NA,NA,NA,NA,NA,NA,0.70315,NA,NA,NA
MORB,49.41,1.12,16.31,1.8,6.92,11.85,8,0.16,0.06,2.61,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,370,50,120,85,110,18,NA,95,NA,85,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
MORB,49.45,1.53,14.36,11.24,NA,11.96,8.06,0.187,0.059,2.66,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,303,262,NA,78.4,78.4,NA,NA,NA,111,33.8,101,NA,NA,NA,3.13,NA,NA,NA,NA,NA,NA,0.70297,NA,NA,NA
MORB,49.59,1.93,13.97,NA,NA,11.02,6.76,0.22,0.16,2.35,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,193,NA,67,NA,123,18,2,95,42.7,132,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70246,NA,NA,NA
MORB,49.6,0.95,17.1,9.07,NA,13.18,7.75,0.15,0.13,2.1,0.1,1.8,NA,NA,NA,NA,0.79,NA,0.54,NA,NA,NA,NA,NA,NA,NA,252,403,NA,118,NA,NA,NA,NA,NA,26.6,67,2.2,NA,NA,NA,1.56,0.21,NA,0.35,NA,NA,NA,NA,NA,NA
MORB,49.64,1.37,15.88,1.37,9.11,10.98,8.16,0.19,0.24,2.39,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,226,311,50,166,63,84,NA,4.1,125,32,105,5.4,NA,NA,45,NA,NA,NA,NA,NA,0.512858,0.703404,18.132,15.523,38.229
MORB,49.7,0.82,18.65,7.34,NA,12.68,7.6,0.13,0.07,2.5,0.09,2,NA,NA,NA,NA,0.94,NA,0.46,NA,NA,NA,NA,NA,NA,NA,164,330,NA,124,NA,NA,NA,NA,NA,21.7,64,NA,NA,NA,NA,1.4,0.07,NA,0.09,NA,NA,NA,NA,NA,NA
MORB,49.7,1.25,15.5,1.28,8.46,11.2,9.1,0.11,0.29,3,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,390,370,48,160,81,90,47,5.5,120,27,85,10.7,NA,NA,70,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
MORB,49.7,1.89,13.7,13.4,NA,11,6.74,0.21,0.18,2.69,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,89.4,NA,50,NA,121,18.9,2.1,114.3,40.8,132,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70267,NA,NA,NA
MORB,49.78,1.62,15.67,NA,NA,11.18,7.36,0.17,0.23,2.98,0.17,NA,NA,NA,11.28,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,2.267,153.1,35,122,6,NA,NA,NA,NA,0.325,NA,NA,NA,0.513142,0.702467,18.346,15.495,37.813
MORB,49.9,1.44,14.75,10.71,NA,11.75,7.85,0.18,0.15,2.5,0.12,3.3,NA,NA,NA,NA,1.2,NA,0.76,NA,NA,NA,NA,NA,NA,NA,292,300,NA,101,NA,NA,NA,NA,NA,33.6,100,2.1,NA,NA,NA,2.5,0.18,NA,0.19,NA,NA,NA,NA,NA,NA
MORB,50,1.23,15.55,9.87,NA,12.26,8.3,0.17,0.19,2.6,0.1,3.9,NA,NA,NA,NA,1.17,NA,0.68,NA,NA,NA,NA,NA,NA,NA,242,354,NA,84,NA,NA,NA,NA,NA,29.5,93,1.8,NA,NA,NA,2.1,0.18,NA,0.19,NA,NA,NA,NA,NA,NA
MORB,50,1,15,0.98,8,12.73,9.62,0.17,0.16,2,0.1,4.8,NA,NA,NA,NA,0.81,NA,0.5,NA,NA,NA,NA,NA,NA,33.2,239,412,36,153,73,63,NA,NA,NA,NA,52,NA,NA,NA,NA,1.74,0.4,NA,0.44,NA,NA,NA,NA,NA,NA
MORB,50.09,1.7,14.25,NA,NA,11.57,7.34,0.2,0.09,2.2,0.14,NA,NA,NA,10.23,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,399,255,48,81,71,99,NA,0.65,93.33,41,103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.1,1.37,15.65,9.95,NA,11.57,7.75,0.18,0.13,2.6,0.12,3.5,NA,NA,NA,NA,1.25,NA,0.76,NA,NA,NA,NA,NA,NA,NA,270,314,NA,92,NA,NA,NA,NA,NA,31.5,95,2.7,NA,NA,NA,2.44,0.19,NA,0.21,NA,NA,NA,NA,NA,NA
MORB,50.15,1.07,15.69,9.69,NA,12.2,8.64,0.17,0.19,2.1,0.11,4.4,NA,NA,NA,NA,0.93,NA,0.57,NA,NA,NA,NA,NA,NA,NA,251,382,NA,149,NA,NA,NA,NA,NA,26.3,72,4.6,NA,NA,NA,1.76,0.31,NA,0.43,NA,NA,NA,NA,NA,NA
MORB,50.17,3.05,13.21,15.26,NA,9.03,4.22,0.21,0.66,3.15,0.37,19,NA,NA,NA,NA,2.35,NA,1.14,NA,NA,NA,NA,NA,NA,NA,365,6,NA,24,NA,NA,NA,NA,NA,47.3,197,34,NA,NA,NA,5.1,2.03,NA,2.26,NA,NA,NA,NA,NA,NA
MORB,50.25,1.07,15.33,1.23,8.15,12.43,8.09,0.17,0.16,2.09,0.15,NA,NA,NA,8.3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,282,470,45,90,NA,NA,NA,2.94,94,NA,NA,NA,NA,0.033,36,NA,NA,NA,NA,NA,0.513125,0.702938,NA,NA,NA
MORB,50.28,2.11,13.89,1.7,11.33,10.12,6.38,0.21,0.27,2.47,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,355,76,51,64,45,117,NA,2.8,119,47,135,5.4,NA,NA,42,NA,NA,NA,NA,NA,0.512965,0.703452,18.416,15.572,38.459
MORB,50.38,1.55,14.52,NA,NA,11.56,7.63,0.18,0.08,2.72,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,326,279,NA,81,NA,NA,NA,0.73,103,39,88,2,NA,NA,9,NA,NA,NA,NA,NA,NA,0.70236,NA,NA,NA
