affinity,SiO2_wt_percent,TiO2_wt_percent,Al2O3_wt_percent,Fe2O3_wt_percent,FeO_wt_percent,CaO_wt_percent,MgO_wt_percent,MnO_wt_percent,K2O_wt_percent,Na2O_wt_percent,P2O5(wt%),La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,143Nd/144Nd,87Sr/86Sr,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
MORB,47.33,1.3,16.91,10.23,NA,12.36,9.5,0.16,0.22,2.29,0.09,3.3,10.4,NA,8.2,3.2,1.19,3.9,0.69,NA,NA,NA,0.5,2.8,0.35,33,212,342,67,206,NA,NA,NA,4,182,22,101,4,NA,NA,42,NA,NA,NA,NA,NA,NA,0.7024,NA,NA,NA
MORB,47.38,0.88,17.75,2,8.8,11,9.74,0.19,0.08,2.87,0.05,1.12,4.3,NA,4.58,1.84,0.821,3.16,NA,4.34,NA,3.1,NA,3.13,NA,42,184,371,49,203,NA,NA,NA,NA,95,25,51,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,0.70278,NA,NA,NA
MORB,47.38,0.87,15.1,9.31,NA,11.39,12.63,0.15,0.09,1.7,0.09,3.58,NA,NA,6.45,2.09,0.7,NA,0.45,NA,NA,NA,NA,NA,NA,27.2,192,1102,49,337,NA,59,NA,1.62,98.2,24,55,5.05,NA,NA,13,1.45,0.35,NA,0.41,0.18,0.513093,0.70291,18.77,15.596,38.442
MORB,47.5,0.91,16.6,NA,NA,10.95,9.1,0.18,0.05,2.68,0.06,1.09,NA,NA,4.18,1.75,0.88,NA,0.562,NA,NA,NA,NA,2.67,NA,NA,216,NA,NA,NA,NA,NA,NA,0.265,90.4,28.5,50,0.78,NA,NA,NA,1.15,0.039,NA,0.018,NA,0.513231,0.702492,17.849,15.447,37.324
MORB,47.78,1.35,14.53,11.32,NA,11.23,9.2,0.19,0.22,2.35,0.14,2.11,NA,NA,8.02,3.03,1.27,NA,0.97,NA,NA,NA,NA,NA,NA,37.3,274,427,52,171,NA,80,NA,3.22,91.6,35,81,1.24,NA,NA,NA,2.36,0.1,NA,0.07,NA,0.513246,0.702813,18.358,15.503,37.881
MORB,47.99,1.26,15.18,10.65,NA,12.91,10.17,0.18,0.27,1.79,0.13,6.8,17.4,NA,12,3.1,1.11,4.3,0.62,NA,NA,NA,0.45,2.3,0.32,37,229,575,43,204,NA,NA,NA,8,150,22,84,11,NA,NA,44,NA,NA,NA,NA,NA,NA,0.70246,NA,NA,NA
MORB,48.04,1.57,16.21,1.4,9.27,8.43,9.53,0.17,0.74,3.22,0.4,17.4,37.6,NA,18.9,4.11,1.46,NA,0.69,NA,NA,NA,NA,2.38,0.35,31,166,286,52,204,49,88,NA,4.8,505,24,149,22,NA,NA,112,NA,NA,NA,NA,NA,0.51291,0.70356,NA,NA,NA
MORB,48.05,1.13,14.88,10.77,NA,11.29,9,0.19,0.06,2.4,0.12,1.89,NA,NA,6.4,2.46,0.95,NA,0.62,NA,NA,NA,NA,NA,NA,35.1,261,325,47,156,NA,68,NA,0.65,89.2,30,61,1.42,NA,NA,NA,1.81,0.11,NA,0.07,NA,0.51317,0.7027,18.514,15.554,38.062
MORB,48.19,0.83,14.12,0.95,8.37,10.19,15.23,0.14,0.02,1.41,0.14,1.4,NA,NA,9.16,3.07,0.8,NA,NA,NA,NA,NA,NA,NA,0.35,38.9,120,930,94,245,130,NA,NA,0.39,164,29,100,NA,NA,NA,5.8,NA,NA,2,NA,NA,0.513005,0.702577,NA,NA,NA
MORB,48.2,1.86,16.2,NA,NA,10.57,9.08,0.16,0.38,3.1,0.28,9.46,24.9,NA,NA,4.79,1.46,NA,0.86,NA,NA,NA,NA,3.12,0.47,32.3,255,349,70,142,60,78,NA,6.9,223,NA,NA,NA,NA,NA,103,4,NA,NA,NA,0.228,NA,0.70287,NA,NA,NA
