pl_name,pl_rade,pl_radeerr1,pl_bmasse,pl_bmassprov,pl_orbsmax,st_rad,sy_dist,disc_year,discoverymethod,disc_facility
Kepler-1690 b,2.81109223,,8.3,M-R relationship,0.7097,0.862346,703.789,2020,Transit,Kepler
HD 75898 c,12.6,,2698.36317543,Mass,7.39,1.55,78.0505,2024,Radial Velocity,Multiple Observatories
K2-386 b,2.32,0.071,5.99,M-R relationship,,0.97,428.785,2022,Transit,K2
TOI-7510 c,10.81,0.32,131.0,Mass,0.1595,1.035,249.006,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-718 b,16.56,6.97,,Msini,0.0322,1.3,1302.33,2016,Transit,Kepler
Kepler-1342 b,1.66,0.22,3.39,M-R relationship,0.0313,0.9,890.724,2016,Transit,Kepler
WASP-174 b,16.10730527,0.56044903,104.88337431,Mass,0.05503,1.347,410.149,2018,Transit,SuperWASP-South
Kepler-1713 b,1.71673535,,3.59,M-R relationship,0.14185,1.459,295.293,2021,Transit,Kepler
Kepler-1121 b,1.91,0.48,4.31,M-R relationship,0.11818,1.59,482.047,2016,Transit,Kepler
Kepler-197 c,1.23,0.04,5.3,Mass,0.09,1.12,330.575,2014,Transit,Kepler
TOI-1294 b,10.12369881,0.23643767,63.9,Mass,0.051,1.5566,332.648,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1195 b,2.08,0.19,4.98,M-R relationship,0.0726,0.71,918.566,2016,Transit,Kepler
GJ 328 b,13.3,,797.74930157,Msini,4.11,0.63,20.5266,2013,Radial Velocity,McDonald Observatory
EPIC 212737443 c,2.69,0.146,7.7,M-R relationship,0.28,0.673,336.25,2019,Transit,K2
Kepler-1783 b,1.31946731,,2.3,M-R relationship,0.07595,1.781,264.078,2021,Transit,Kepler
HD 50499 c,13.2,,931.2419,Msini,9.02,1.42,46.2845,2019,Radial Velocity,La Silla Observatory
Kepler-874 b,3.94,1.07,14.7,M-R relationship,0.2234,1.13,1082.16,2016,Transit,Kepler
Kepler-235 b,2.23,0.1,5.6,M-R relationship,0.037,0.554,428.018,2014,Transit,Kepler
HD 98219 b,13.4,,624.21812,Msini,1.26,4.6,113.704,2011,Radial Velocity,W. M. Keck Observatory
Kepler-625 b,1.99,0.06,4.62,M-R relationship,0.08137,0.96,760.708,2016,Transit,Kepler
Kepler-1178 b,1.07,0.06,1.24,M-R relationship,0.1596,0.75,482.287,2016,Transit,Kepler
K2-407 b,1.283,0.097,2.19,M-R relationship,,0.927,218.376,2022,Transit,K2
KOI-351 b,1.31,0.17,2.27,M-R relationship,0.074,1.2,848.254,2013,Transit,Kepler
WASP-151 b,13.30506009,0.23538859,100.43377661,Mass,0.055,1.181,453.099,2017,Transit,SuperWASP-South
K2-289 b,9.1,0.3,61.0,M-R relationship,0.107,1.025,274.3,2019,Transit,K2
GJ 1002 b,1.03,,1.08,Msini,0.0457,0.137,4.84867,2022,Radial Velocity,Multiple Observatories
Kepler-1143 c,3.6,0.51,12.6,M-R relationship,0.6477,0.77,555.189,2016,Transit,Kepler
