Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1906,3,3.81,3.453,3.301,2.71,2.722,2.14,1.89,2.672,1.563,1.161,0.152,0.25,7.79,0.96,1.554,0
1906,4,3.505,3.298,3.185,2.594,2.609,2.033,1.753,2.526,1.545,1.152,0.113,0.28,7.78,0.75,1.402,0
1906,5,3.688,3.356,3.182,2.563,2.588,1.99,1.652,2.504,1.704,1.192,0.174,0.338,7.66,0.84,1.341,0
1906,6,3.719,3.414,3.2,2.576,2.606,2.009,1.618,2.516,1.796,1.192,0.213,0.39,7.73,0.91,1.189,0
1906,7,3.749,3.472,3.252,2.633,2.655,2.057,1.686,2.579,1.786,1.195,0.219,0.372,7.76,0.79,1.25,0
1906,8,3.749,3.484,3.301,2.673,2.688,2.076,1.756,2.62,1.728,1.225,0.183,0.32,7.87,0.99,1.372,0
1906,9,3.536,3.362,3.246,2.621,2.633,2.024,1.765,2.564,1.597,1.222,0.116,0.259,7.67,1.02,1.463,0
1906,10,3.475,3.271,3.194,2.563,2.579,1.966,1.692,2.482,1.579,1.228,0.076,0.274,7.68,1.07,1.311,0
1906,11,3.627,3.301,3.161,2.518,2.536,1.914,1.548,2.424,1.753,1.247,0.14,0.366,7.69,1.05,1.067,0
1906,12,3.78,3.456,3.252,2.606,2.627,2.003,1.591,2.524,1.865,1.25,0.204,0.411,7.71,1.07,1.097,0
1907,1,3.993,3.505,3.292,2.67,2.688,2.088,1.725,2.615,1.78,1.204,0.213,0.363,7.85,1.01,1.341,0
1907,2,3.749,3.417,3.234,2.646,2.658,2.085,1.807,2.612,1.61,1.149,0.183,0.277,7.85,0.77,1.372,0
1907,3,3.658,3.392,3.304,2.725,2.743,2.185,1.96,2.676,1.432,1.119,0.088,0.226,7.58,0.81,1.463,0
1907,4,3.627,3.304,3.206,2.63,2.652,2.094,1.838,2.571,1.466,1.113,0.098,0.256,7.89,0.9,1.433,0
1907,5,3.81,3.331,3.191,2.588,2.609,2.024,1.692,2.512,1.639,1.167,0.14,0.332,7.82,0.88,1.341,0
1907,6,3.81,3.453,3.243,2.618,2.646,2.048,1.682,2.568,1.771,1.195,0.21,0.366,7.82,0.95,1.219,0
1907,7,3.84,3.511,3.28,2.655,2.673,2.07,1.701,2.606,1.81,1.21,0.232,0.369,7.84,0.94,1.28,0
1907,8,3.78,3.505,3.307,2.679,2.694,2.085,1.734,2.62,1.771,1.222,0.198,0.351,7.83,1.05,1.433,0
1907,9,3.566,3.402,3.264,2.649,2.661,2.06,1.771,2.586,1.631,1.204,0.137,0.29,7.82,1.2,1.524,0
1907,10,3.536,3.383,3.286,2.658,2.676,2.067,1.759,2.571,1.624,1.219,0.098,0.308,7.75,1.16,1.615,0
1907,11,3.688,3.359,3.213,2.569,2.594,1.975,1.588,2.474,1.771,1.237,0.146,0.387,7.77,1.16,1.402,0
1907,12,3.932,3.438,3.228,2.585,2.609,1.987,1.564,2.501,1.874,1.241,0.21,0.424,7.78,1.08,1.25,0
1908,1,3.871,3.493,3.283,2.643,2.658,2.033,1.649,2.571,1.844,1.25,0.21,0.384,7.73,0.99,1.067,0
1908,2,4.084,3.377,3.216,2.585,2.597,1.975,1.655,2.516,1.722,1.241,0.162,0.32,7.8,0.96,1.341,0
1908,3,3.627,3.264,3.164,2.542,2.554,1.945,1.673,2.468,1.591,1.219,0.101,0.271,7.85,1.0,1.311,0
1908,4,3.536,3.267,3.161,2.533,2.551,1.942,1.643,2.455,1.624,1.219,0.107,0.299,7.71,1.06,1.372,0
1908,5,3.566,3.243,3.097,2.475,2.493,1.893,1.527,2.385,1.716,1.204,0.146,0.366,7.71,1.06,1.189,0
1908,6,3.658,3.365,3.149,2.527,2.548,1.948,1.548,2.456,1.817,1.201,0.216,0.399,7.76,1.09,1.219,0
1908,7,3.78,3.481,3.243,2.612,2.633,2.024,1.64,2.56,1.841,1.219,0.238,0.384,7.78,1.15,1.189,0
1908,8,3.749,3.453,3.24,2.615,2.627,2.015,1.667,2.56,1.786,1.225,0.213,0.347,7.82,1.18,1.25,0
1908,9,3.597,3.392,3.252,2.624,2.637,2.021,1.716,2.554,1.676,1.231,0.14,0.305,7.75,1.03,1.311,0
1908,10,3.536,3.316,3.206,2.569,2.591,1.975,1.643,2.48,1.673,1.231,0.11,0.332,7.74,1.07,1.494,0
1908,11,3.658,3.365,3.206,2.557,2.579,1.951,1.551,2.458,1.814,1.256,0.158,0.399,7.69,1.12,1.189,0
1908,12,3.688,3.42,3.206,2.551,2.576,1.945,1.487,2.454,1.933,1.262,0.213,0.457,7.56,1.08,1.128,0
1909,1,3.993,3.566,3.347,2.728,2.755,2.164,1.756,2.661,1.81,1.183,0.219,0.408,7.7,1.01,1.402,0
1909,2,3.78,3.441,3.255,2.679,2.704,2.149,1.829,2.635,1.612,1.106,0.186,0.32,7.77,0.86,1.25,0
1909,3,3.566,3.31,3.176,2.573,2.588,2.003,1.698,2.504,1.612,1.173,0.134,0.305,7.75,0.87,1.341,0
1909,4,3.505,3.274,3.152,2.53,2.551,1.948,1.622,2.448,1.652,1.204,0.122,0.326,7.74,0.95,1.311,0
1909,5,3.597,3.322,3.149,2.536,2.56,1.972,1.579,2.45,1.743,1.177,0.174,0.393,7.67,0.9,1.25,0
1909,6,3.627,3.402,3.176,2.566,2.594,2.012,1.582,2.492,1.82,1.164,0.226,0.43,7.78,0.83,1.28,0
1909,7,3.688,3.432,3.203,2.585,2.612,2.018,1.579,2.506,1.853,1.186,0.229,0.439,7.79,0.99,1.219,0
1909,8,3.688,3.405,3.213,2.6,2.612,2.015,1.649,2.527,1.756,1.198,0.192,0.366,7.79,1.04,1.28,0
1909,9,3.505,3.38,3.246,2.63,2.637,2.027,1.759,2.57,1.621,1.219,0.134,0.268,7.71,1.06,1.463,0
1909,10,3.627,3.313,3.228,2.597,2.618,2.006,1.682,2.498,1.631,1.222,0.085,0.323,7.71,1.06,1.25,0
1909,11,3.688,3.307,3.158,2.518,2.545,1.935,1.53,2.418,1.777,1.222,0.149,0.405,7.73,1.04,1.006,0
1909,12,3.84,3.478,3.28,2.649,2.676,2.073,1.625,2.552,1.853,1.207,0.198,0.448,7.79,1.06,1.28,0
1910,1,3.84,3.432,3.194,2.576,2.6,2.006,1.588,2.51,1.844,1.189,0.238,0.418,7.83,0.95,1.311,0
1910,2,3.536,3.344,3.127,2.521,2.536,1.948,1.582,2.463,1.762,1.18,0.216,0.366,7.78,0.91,1.25,0
1910,3,3.566,3.341,3.182,2.591,2.603,2.027,1.713,2.527,1.628,1.155,0.158,0.314,7.78,0.9,1.372,0
1910,4,3.627,3.271,3.13,2.527,2.551,1.972,1.625,2.448,1.646,1.158,0.14,0.347,7.78,0.95,1.311,0
1910,5,3.658,3.31,3.118,2.505,2.533,1.948,1.545,2.428,1.765,1.17,0.192,0.402,7.77,0.93,1.158,0
1910,6,3.749,3.402,3.164,2.539,2.563,1.963,1.521,2.462,1.881,1.201,0.238,0.442,7.76,0.91,1.158,0
1910,7,3.658,3.478,3.225,2.603,2.624,2.027,1.603,2.54,1.875,1.198,0.253,0.424,7.73,1.03,1.128,0
1910,8,3.749,3.441,3.231,2.603,2.627,2.024,1.64,2.54,1.801,1.207,0.21,0.384,7.76,1.06,1.341,0
1910,9,3.597,3.377,3.234,2.612,2.63,2.024,1.713,2.545,1.664,1.21,0.143,0.311,7.57,1.04,1.433,0
1910,10,3.719,3.325,3.216,2.591,2.609,2.003,1.667,2.496,1.658,1.213,0.11,0.335,7.65,1.0,1.372,0
1910,11,3.78,3.362,3.194,2.56,2.588,1.978,1.551,2.456,1.811,1.216,0.168,0.427,7.6,1.01,1.097,0
1910,12,3.78,3.42,3.203,2.557,2.588,1.972,1.497,2.458,1.923,1.231,0.216,0.475,7.73,1.06,1.036,0
1911,1,3.932,3.484,3.255,2.63,2.646,2.036,1.609,2.546,1.875,1.219,0.229,0.427,7.75,0.9,1.158,0
1911,2,3.81,3.411,3.222,2.652,2.667,2.109,1.759,2.585,1.652,1.113,0.189,0.351,7.8,0.77,1.402,0
1911,3,3.749,3.38,3.246,2.67,2.685,2.121,1.838,2.609,1.542,1.125,0.134,0.283,7.84,0.81,1.402,0
1911,4,3.627,3.295,3.173,2.576,2.597,2.021,1.707,2.501,1.588,1.152,0.122,0.314,7.77,0.82,1.219,0
1911,5,3.78,3.344,3.155,2.548,2.573,1.99,1.606,2.475,1.738,1.164,0.189,0.384,7.79,0.86,1.158,0
1911,6,3.597,3.432,3.206,2.603,2.624,2.042,1.615,2.524,1.817,1.164,0.226,0.427,7.79,0.82,1.097,0
1911,7,3.627,3.502,3.249,2.633,2.658,2.067,1.631,2.566,1.871,1.183,0.253,0.436,7.85,0.86,1.128,0
1911,8,3.719,3.438,3.213,2.603,2.612,2.015,1.6,2.519,1.838,1.198,0.226,0.415,7.8,1.05,1.311,0
1911,9,3.566,3.417,3.255,2.649,2.661,2.067,1.719,2.568,1.698,1.189,0.162,0.347,7.75,1.0,1.494,0
1911,10,3.658,3.447,3.316,2.691,2.713,2.109,1.74,2.594,1.707,1.207,0.131,0.369,7.73,1.05,1.585,0
1911,11,3.719,3.408,3.24,2.612,2.637,2.03,1.594,2.501,1.814,1.21,0.168,0.436,7.73,0.98,1.158,0
1911,12,3.81,3.481,3.261,2.63,2.655,2.045,1.558,2.52,1.923,1.216,0.219,0.488,7.69,1.02,1.158,0
1912,1,3.81,3.53,3.289,2.655,2.679,2.07,1.658,2.594,1.872,1.219,0.241,0.411,7.76,1.05,1.067,0
1912,2,3.749,3.338,3.149,2.521,2.539,1.932,1.573,2.456,1.765,1.216,0.189,0.36,7.79,1.02,1.158,0
1912,3,3.688,3.402,3.258,2.633,2.652,2.045,1.728,2.565,1.674,1.213,0.143,0.317,7.76,1.04,1.28,0
