lon,lat,segment,kind
-170.02,-64.5224,11,ridge
-169.65,-64.3715,11,ridge
-169.335,-64.2305,11,ridge
-168.945,-64.032,11,ridge
-168.565,-63.8585,11,ridge
-168.295,-63.7349,11,ridge
-168.065,-63.6218,11,ridge
-167.91,-63.5529,11,ridge
-167.79,-63.486,11,ridge
-167.595,-63.5529,11,ridge
-167.49,-63.5951,11,ridge
-167.335,-63.6618,11,ridge
,,11,ridge
-167.295,-63.6462,12,ridge
-166.89,-63.6151,12,ridge
-166.42,-63.6151,12,ridge
-165.93,-63.6129,12,ridge
-165.47,-63.5818,12,ridge
-164.98,-63.5773,12,ridge
-164.55,-63.5662,12,ridge
-164.28,-63.5529,12,ridge
-163.925,-63.5127,12,ridge
,,12,ridge
-167.295,-63.6462,13,ridge
-167.225,-63.4525,13,ridge
-167.17,-63.2214,13,ridge
-167.135,-62.9771,13,ridge
-167.07,-62.7353,13,ridge
-167.025,-62.5422,13,ridge
-166.99,-62.3897,13,ridge
-166.965,-62.2782,13,ridge
-166.93,-62.1197,13,ridge
,,13,ridge
-163.63,-63.113,14,ridge
-163.29,-62.9248,14,ridge
-162.94,-62.7284,14,ridge
-162.655,-62.5561,14,ridge
-162.37,-62.4082,14,ridge
-162.115,-62.2573,14,ridge
-161.94,-62.1594,14,ridge
-161.705,-61.9955,14,ridge
-161.46,-62.0846,14,ridge
-160.94,-62.2294,14,ridge
-160.405,-62.4036,14,ridge
-159.92,-62.5584,14,ridge
-159.5,-62.6825,14,ridge
-159.21,-62.7604,14,ridge
-158.895,-62.8541,14,ridge
-158.635,-62.9361,14,ridge
-158.345,-63.0066,14,ridge
-158.05,-63.0791,14,ridge
-157.765,-63.1334,14,ridge
-157.55,-63.174,14,ridge
-157.39,-63.2214,14,ridge
-157.17,-63.0565,14,ridge
-156.925,-62.8792,14,ridge
-156.745,-62.7559,14,ridge
-156.5,-62.5676,14,ridge
-156.145,-62.327,14,ridge
-155.835,-62.136,14,ridge
-155.66,-61.9978,14,ridge
-155.385,-62.0752,14,ridge
-155.135,-62.143,14,ridge
-154.975,-62.1827,14,ridge
-154.82,-62.0448,14,ridge
-154.515,-61.8283,14,ridge
-154.19,-61.5723,14,ridge
-153.875,-61.3022,14,ridge
-153.485,-61.0636,14,ridge
-153.085,-60.7476,14,ridge
-152.63,-60.4407,14,ridge
-152.385,-60.2651,14,ridge
-152.21,-60.0985,14,ridge
-151.95,-59.8834,14,ridge
-151.715,-59.6872,14,ridge
-151.545,-59.5557,14,ridge
-151.44,-59.439,14,ridge
,,14,ridge
-54.5584,-61.5189,15,ridge
-54.6364,-61.5578,15,ridge
-54.7576,-61.6015,15,ridge
-54.9126,-61.6552,15,ridge
-55.0701,-61.7035,15,ridge
-55.1575,-61.7379,15,ridge
-55.2021,-61.76,15,ridge
-55.2312,-61.7722,15,ridge
-55.3154,-61.731,15,ridge
-55.4483,-61.6729,15,ridge
-55.5494,-61.7075,15,ridge
-55.6884,-61.7598,15,ridge
-55.8255,-61.8056,15,ridge
-55.9533,-61.8533,15,ridge
-56.0748,-61.8912,15,ridge
-56.2051,-61.9355,15,ridge
-56.2994,-61.9687,15,ridge
-56.3713,-61.9931,15,ridge
-56.45,-62.0175,15,ridge
-56.5281,-62.0076,15,ridge
-56.6343,-61.983,15,ridge
-56.683,-61.9674,15,ridge
-56.7295,-61.9497,15,ridge
-56.755,-61.9414,15,ridge
-56.8605,-61.9801,15,ridge
-56.948,-62.011,15,ridge
-57.0489,-62.0485,15,ridge
-57.1476,-62.0848,15,ridge
