pl_name,st_teff,st_rad,pl_orbsmax,pl_rade,pl_eqt,discoverymethod
Kepler-1507 b,5410.0,0.85,,0.84,,Transit
K2-273 b,5161.0,0.85,0.0729,3.05,849.0,Transit
TOI-1221 b,5592.0,1.031,0.387,2.91,440.0,Transit
Kepler-253 d,5208.0,0.786,0.13,3.17,,Transit
CoRoT-4 b,6190.0,1.17,0.09,13.34,1074.0,Transit
TOI-3894 b,6000.0,1.502,0.05354,15.27784069,1531.0,Transit
Kepler-1038 b,5335.0,0.83,,3.53,,Transit
Kepler-846 b,5579.0,0.91,,2.48,,Transit
Kepler-866 b,4751.0,0.71,,1.63,,Transit
TOI-2411 b,4099.0,0.68,0.0144,1.68,1355.0,Transit
Kepler-301 c,5815.0,0.9,0.06,1.35,,Transit
K2-409 b,5742.0,1.228,,2.482,,Transit
Kepler-560 b,3556.0,0.33,,1.72,,Transit
KMT-2023-BLG-1866L b,,,2.63,,,Microlensing
HD 74156 c,,,3.678,,,Radial Velocity
GJ 273 c,3382.0,0.293,0.036467,,,Radial Velocity
Kepler-1921 c,6120.0,2.0,0.0454,1.41,1791.0,Transit
K2-99 c,6069.0,2.55,1.43,,390.0,Radial Velocity
TOI-1064 b,4734.0,0.726,0.06152,2.587,784.0,Transit
Kepler-841 b,5324.0,0.81,,5.23,,Transit
TOI-5605 b,4583.79,0.736044,,2.52611303,,Transit
HD 27894 d,,,5.362,,,Radial Velocity
Kepler-186 e,3788.0,0.472,0.11,1.27,,Transit
Kepler-1987 d,4769.0,0.714,0.0571,2.66,744.0,Transit
Kepler-1233 b,6198.0,1.25,,2.6,,Transit
HD 29021 b,,,2.294,,,Radial Velocity
Kepler-205 b,4321.0,0.546,0.032,1.51,,Transit
Kepler-549 c,5360.0,0.84,,2.93,,Transit
Kepler-1221 b,5194.0,0.82,,1.88,,Transit
Kepler-1836 b,6123.0,0.987,,2.55303229,,Transit
Kepler-257 b,5180.0,1.037,0.034,2.61,,Transit
Kepler-42 b,3068.0,0.17,0.0116,0.78,519.0,Transit
HD 75302 b,,,5.3,,,Radial Velocity
Kepler-44 b,5800.0,1.35,0.0446,12.22,1544.0,Transit
Kepler-425 b,5170.0,0.86,0.0464,10.962,1070.0,Transit
KOI-984 c,5295.0,0.818,0.1467,,597.0,Transit Timing Variations
Kepler-1912 b,5734.0,0.962,,1.35670508,,Transit
Kepler-336 d,5867.0,1.304,0.154,2.37,,Transit
HD 156098 c,,,8.415,,,Radial Velocity
Kepler-1258 b,5839.0,0.99,,0.86,,Transit
HD 142 b,,,1.039,,,Radial Velocity
KMT-2021-BLG-0171L b,5200.0,,3.5,,,Microlensing
Kepler-132 b,6003.0,1.178,0.067,1.21,,Transit
TOI-5174 b,5643.77,1.09457,,5.351,,Transit
WASP-97 b,5640.0,1.08,,12.77826,,Transit
Kepler-1646 b,3299.0,0.26,,1.23,,Transit
HD 63433 c,5553.0,0.934,,2.692,678.92,Transit
K2-342 b,5920.0,1.09,,2.03,861.0,Transit
Kepler-188 c,6021.0,1.141,0.066,3.19,,Transit
Kepler-1096 b,4306.0,0.63,,1.24,,Transit
HD 173416 b,4683.0,13.5,1.158,,,Radial Velocity
Kepler-111 c,5914.0,1.145,0.751,7.0840758,352.2,Transit
KMT-2022-BLG-1013L b,,,1.38,,,Microlensing
Kepler-284 b,5615.0,0.814,0.104,2.24,,Transit
MOA-2013-BLG-605L b,,,0.93,,,Microlensing
OGLE-2016-BLG-1227L b,,,3.4,,,Microlensing
HATS-52 b,6010.0,1.046,0.02498,15.490838,1834.0,Transit
HD 32963 b,5727.0,,3.41,,,Radial Velocity
Kepler-131 b,5685.0,1.03,,2.41,,Transit
MOA-2008-BLG-379L b,,,2.7,,,Microlensing
Kepler-1241 b,5261.0,0.8,,2.63,,Transit
HIP 55507 b,,,5.062,,,Radial Velocity
HD 1690 b,4374.0,21.66,1.36,,,Radial Velocity
TOI-2498 b,5905.0,1.26,0.0491,6.06,1443.0,Transit
HD 29399 b,4845.0,4.5,1.913,,,Radial Velocity
WASP-1 b,,1.47,0.03889,16.623,,Transit
HD 151450 b,,,0.16,,,Radial Velocity
OGLE-TR-111 b,,0.83,0.0473,11.421971,,Transit
Kepler-361 c,6169.0,1.343,0.3,2.52,,Transit
K2-136 b,4500.0,0.677,0.0707,1.014,610.0,Transit
K2-136 c,4500.0,0.677,0.1185,3.0,470.0,Transit
K2-136 d,4500.0,0.677,0.1538,1.565,420.0,Transit
TOI-913 b,4969.0,0.7325,,2.4528,712.01,Transit
LHS 1815 b,3643.0,0.501,,1.088,,Transit
LHS 475 b,3300.0,0.2789,,0.991,586.0,Transit
HD 18143 c,,,17.53,,,Radial Velocity
LHS 1678 d,3490.0,0.329,0.04,0.981,,Transit
WASP-157 b,5772.0,1.1,0.0499,11.19,1193.0,Transit
EPIC 201833600 c,,,,1.0,,Transit
Kepler-93 b,5669.0,0.919,0.05343,1.478,1133.0,Transit
HD 106270 b,5509.0,2.66,3.34,,,Radial Velocity
TOI-220 b,5298.0,0.858,0.08911,3.03,805.0,Transit
HD 2638 b,5186.0,0.94,0.04,,,Radial Velocity
HD 39194 c,,,0.1083,,,Radial Velocity
Kepler-511 b,5770.0,1.2,,6.35,,Transit
K2-151 b,3695.0,0.45,0.0373,1.49,566.0,Transit
HIP 54373 b,4021.0,,0.063,,,Radial Velocity
Kepler-426 b,5725.0,0.92,0.0414,12.22,1300.0,Transit
TOI-6054.02,6047.0,1.662,0.1079,2.82,1143.0,Transit
TOI-5795 b,5715.0,1.082,0.064,5.62,1136.78,Transit
HS Psc b,4203.0,0.65,0.0435,,,Radial Velocity
TOI-1443 b,5224.0,0.7511,0.147,2.30381001,520.66,Transit
HD 134606 f,5576.0,1.158,0.1784,,,Radial Velocity
Kepler-1717 b,6200.0,1.64,,2.98929758,,Transit
TOI-4329 b,6000.0,2.31,,16.81347105,,Transit
Kepler-784 c,5676.0,1.487,0.1309,1.55,844.0,Transit
Kepler-1972 b,5818.0,1.384,,0.802,,Transit
HD 100546 b,10500.0,,53.0,77.3421,,Imaging
Kepler-238 e,,0.96,,5.6,,Transit
Kepler-993 b,3843.0,0.54,,2.97,,Transit
Teegarden's Star d,3034.0,0.12,0.0791,,159.0,Radial Velocity
OGLE-TR-132 b,6210.0,1.32,0.03035,13.45,2013.0,Transit
TOI-4342 c,3866.0,0.598,0.0804,2.349,514.0,Transit
Kepler-1761 b,3871.0,0.532,,1.39109603,,Transit
Kepler-865 c,5440.0,0.885,0.061,0.89,914.0,Transit
K2-59 b,5055.0,0.731,0.1354,2.41,,Transit
Kepler-1062 b,4597.0,0.7,,1.76,,Transit
OGLE-2018-BLG-0516L b,,,2.2,,,Microlensing
Kepler-809 b,5734.0,0.98,,3.01,,Transit
Kepler-941 b,5539.0,0.86,,3.08,,Transit
TOI-5799 b,3452.0,0.321,0.0348,1.733,505.0,Transit
Kepler-1400 b,5044.0,0.78,,1.62,,Transit
HD 10975 b,4840.0,11.16,0.95,,,Radial Velocity
HAT-P-20 b,4595.0,0.694,0.0361,9.718,970.0,Transit
Kepler-920 c,5403.0,0.85,,3.8,,Transit
KMT-2024-BLG-0404L c,,,,,,Microlensing
Kepler-1505 b,5686.0,0.86,,0.93,,Transit
Kepler-545 b,5882.0,1.07,,2.69,,Transit
TOI-1438 b,5230.0,0.82,0.0553,3.04,971.0,Transit
HATS-3 b,6351.0,1.404,0.0485,15.48,1648.0,Transit
HD 135694 b,5712.0,1.08,0.124695,2.857,,Transit
HR 5183 b,5794.0,1.53,18.0,,171.0,Radial Velocity
Kepler-374 c,5977.0,0.911,0.042,1.1,,Transit
TOI-2200 b,5036.17,0.826247,,6.96310517,,Transit
TOI-2295 c,5730.0,1.459,2.018,,234.9,Radial Velocity
TOI-205 b,6302.74,1.45382,,2.50121142,,Transit
Kepler-1547 b,6078.0,1.18,,0.9,,Transit
Kepler-1181 c,6688.0,1.347,0.0928,1.83,1124.0,Transit
EPIC 220674823 c,5578.0,0.99,0.1078,2.712,838.0,Transit
HD 160691 e,5773.0,1.33,,,,Radial Velocity
Kepler-1471 c,5533.0,1.166,0.0981,1.88,841.0,Transit
WASP-197 b,6050.0,2.112,0.065,14.44837612,1665.0,Transit
Kepler-1279 b,6221.0,1.33,,1.75,,Transit
Kepler-1438 b,5530.0,0.96,,0.94,,Transit
Kepler-446 b,3359.0,0.24,,1.5,,Transit
Kepler-1197 b,4708.0,0.72,,1.25,,Transit
KOBE-1 c,4135.0,0.619,0.16071,,392.5,Radial Velocity
Kepler-113 b,4725.0,0.69,,1.82,,Transit
Kepler-10 c,5708.0,1.065,0.241,2.355,579.0,Transit
Kepler-1963 b,5726.0,0.979,,0.74437023,,Transit
Kepler-357 b,5036.0,0.834,0.063,1.84,,Transit
WASP-24 b,6075.0,1.42,,15.46842,,Transit
TOI-3261 b,5068.0,0.849,0.01714,3.82,1722.0,Transit
Kepler-223 c,,1.72,,3.44,,Transit
Kepler-1417 b,5839.0,1.02,,1.0,,Transit
KMT-2016-BLG-2321L b,,,3.58,,,Microlensing
Kepler-755 b,5043.0,0.77,,1.76,,Transit
HD 180314 b,4917.0,9.2,1.448,,,Radial Velocity
Kepler-390 b,5166.0,0.776,0.065,0.82,,Transit
Kepler-202 b,4668.0,0.667,0.045,1.63,,Transit
KMT-2021-BLG-0748L b,,,2.43,,,Microlensing
