segment,lon,lat
16,-94.504,74.135
16,-92.42,74.1
16,-90.51,73.857
16,-92.004,72.966
16,-93.196,72.772
16,-94.269,72.025
16,-95.41,72.062
16,-96.034,72.94
16,-96.018,73.437
16,-95.496,73.862
16,-94.504,74.135
,,
17,-100.438,72.706
17,-101.54,73.36
17,-100.356,73.844
17,-99.164,73.633
17,-97.38,73.76
17,-97.12,73.47
17,-98.054,72.991
17,-96.54,72.56
17,-96.72,71.66
17,-98.36,71.273
17,-99.323,71.356
17,-100.015,71.738
17,-102.48,72.483
17,-102.48,72.83
17,-100.438,72.706
,,
18,-107.819,75.846
18,-106.929,76.013
18,-105.881,75.969
18,-105.705,75.48
18,-106.313,75.005
18,-109.7,74.85
18,-112.223,74.417
18,-113.744,74.394
18,-113.871,74.72
18,-111.794,75.162
18,-116.312,75.043
18,-117.71,75.222
18,-116.346,76.199
18,-115.405,76.479
18,-112.591,76.141
18,-110.814,75.549
18,-109.067,75.473
18,-110.497,76.43
18,-109.581,76.794
18,-108.549,76.678
18,-108.211,76.202
18,-107.819,75.846
,,
19,-122.855,76.117
19,-121.158,76.865
19,-119.104,77.512
19,-117.57,77.498
19,-116.199,77.645
19,-116.336,76.877
19,-117.106,76.53
19,-118.04,76.481
19,-119.899,76.053
19,-121.5,75.9
19,-122.855,76.117
,,
20,-121.538,74.449
20,-120.11,74.241
20,-117.556,74.186
20,-116.584,73.896
20,-115.511,73.475
20,-116.768,73.223
20,-119.22,72.52
20,-120.46,71.82
20,-120.46,71.384
20,-123.092,70.902
20,-123.62,71.34
20,-125.929,71.869
20,-125.5,72.292
20,-124.807,73.023
20,-123.94,73.68
20,-124.918,74.293
20,-121.538,74.449
,,
21,-166.468,60.384
21,-165.674,60.294
21,-165.579,59.91
21,-166.193,59.754
21,-166.848,59.941
21,-167.455,60.213
21,-166.468,60.384
,,
22,-153.229,57.969
22,-152.565,57.901
22,-152.141,57.591
22,-153.006,57.116
22,-154.005,56.735
22,-154.516,56.993
22,-154.671,57.461
22,-153.763,57.817
22,-153.229,57.969
,,
23,-132.71,54.04
23,-131.75,54.12
23,-132.049,52.985
23,-131.179,52.18
23,-131.578,52.182
23,-132.18,52.64
23,-132.55,53.1
23,-133.055,53.411
23,-133.24,53.851
23,-133.18,54.17
23,-132.71,54.04
,,
24,-125.415,49.95
24,-124.921,49.475
24,-123.923,49.062
24,-123.51,48.51
24,-124.013,48.371
24,-125.655,48.825
24,-125.955,49.18
24,-126.85,49.53
24,-127.03,49.815
24,-128.059,49.995
24,-128.445,50.539
24,-128.358,50.771
24,-127.309,50.553
24,-126.695,50.401
24,-125.755,50.295
24,-125.415,49.95
,,
25,-171.732,63.783
25,-171.114,63.592
25,-170.491,63.695
25,-169.683,63.431
25,-168.689,63.298
25,-168.772,63.189
25,-169.529,62.977
25,-170.291,63.194
25,-170.671,63.376
25,-171.553,63.318
25,-171.791,63.406
25,-171.732,63.783
,,
26,-105.492,79.302
26,-103.529,79.165
26,-100.825,78.8
26,-100.06,78.325
26,-99.671,77.908
26,-101.304,78.019
26,-102.95,78.343
26,-105.176,78.38
26,-104.21,78.677
26,-105.42,78.918
26,-105.492,79.302
,,
27,32.947,35.387
27,33.667,35.373
27,34.576,35.672
27,33.901,35.246
27,34.005,34.978
27,32.98,34.572
27,32.49,34.702
27,32.257,35.103
27,32.802,35.146
27,32.947,35.387
,,
28,26.29,35.3
28,26.165,35.005
28,24.725,34.92
28,24.735,35.085
28,23.515,35.28
28,23.7,35.705
28,24.247,35.368
28,25.025,35.425
28,25.769,35.354
28,25.745,35.18
28,26.29,35.3
,,
29,49.544,-12.47
29,49.809,-12.895
29,50.057,-13.556
29,50.217,-14.759
29,50.477,-15.227
29,50.377,-15.706
29,50.2,-16.0
29,49.861,-15.414
29,49.673,-15.71
29,49.863,-16.451
29,49.775,-16.875
29,49.499,-17.106
29,49.436,-17.953
29,49.042,-19.119
29,48.549,-20.497
29,47.931,-22.392
29,47.548,-23.782
29,47.096,-24.942
29,46.282,-25.178
29,45.41,-25.601
29,44.834,-25.346
29,44.04,-24.988
29,43.764,-24.461
29,43.698,-23.574
29,43.346,-22.777
29,43.254,-22.057
29,43.433,-21.336
29,43.894,-21.163
29,43.896,-20.83
29,44.374,-20.072
29,44.464,-19.435
29,44.232,-18.962
29,44.043,-18.331
29,43.963,-17.41
29,44.312,-16.85
29,44.447,-16.216
29,44.945,-16.179
29,45.503,-15.974
29,45.873,-15.793
29,46.312,-15.78
29,46.882,-15.21
29,47.705,-14.594
29,48.005,-14.091
29,47.869,-13.664
29,48.294,-13.784
29,48.845,-13.089
29,48.864,-12.488
29,49.195,-12.041
29,49.544,-12.47
,,
30,167.217,-15.892
30,167.845,-16.466
30,167.515,-16.598
30,167.18,-16.16
30,167.217,-15.892
,,
31,166.793,-15.669
31,166.65,-15.393
31,166.629,-14.626
31,167.108,-14.934
31,167.27,-15.74
31,167.001,-15.615
31,166.793,-15.669
,,
32,134.21,-6.895
32,134.113,-6.142
32,134.29,-5.783
32,134.5,-5.445
32,134.727,-5.738
32,134.725,-6.214
32,134.21,-6.895
,,
33,-48.661,-78.047
33,-48.151,-78.047
33,-46.663,-77.831
33,-45.155,-78.047
33,-43.921,-78.478
33,-43.49,-79.086
33,-43.372,-79.517
33,-43.333,-80.026
33,-44.881,-80.34
33,-46.506,-80.594
33,-48.386,-80.829
33,-50.482,-81.025
33,-52.852,-80.967
33,-54.164,-80.634
33,-53.988,-80.222
33,-51.853,-79.948
33,-50.991,-79.615
33,-50.365,-79.183
33,-49.914,-78.811
33,-49.307,-78.459
33,-48.661,-78.047
,,
34,-66.29,-80.256
34,-64.038,-80.295
34,-61.883,-80.393
34,-61.139,-79.981
34,-60.61,-79.629
34,-59.572,-80.04
34,-59.866,-80.55
34,-60.16,-81.0
34,-62.255,-80.863
34,-64.488,-80.922
34,-65.742,-80.589
34,-65.742,-80.55
34,-66.29,-80.256
,,
35,-73.916,-71.269
35,-73.23,-71.152
35,-72.075,-71.191
35,-71.781,-70.681
35,-71.722,-70.309
35,-71.742,-69.506
35,-71.174,-69.035
35,-70.253,-68.879
35,-69.724,-69.251
35,-69.489,-69.623
35,-69.059,-70.074
35,-68.726,-70.505
35,-68.451,-70.956
35,-68.334,-71.406
35,-68.51,-71.798
35,-68.784,-72.171
35,-69.959,-72.308
35,-71.076,-72.504
35,-72.388,-72.484
35,-71.898,-72.092
35,-73.074,-72.229
35,-74.19,-72.367
35,-74.954,-72.073
35,-75.013,-71.661
35,-73.916,-71.269
,,
36,-102.331,-71.894
36,-101.704,-71.718
36,-100.431,-71.855
36,-98.982,-71.933
36,-97.885,-72.071
36,-96.788,-71.953
36,-96.2,-72.521
36,-96.984,-72.443
36,-98.198,-72.482
36,-99.432,-72.443
36,-100.783,-72.502
36,-101.802,-72.306
36,-102.331,-71.894
,,
37,-122.622,-73.658
37,-122.406,-73.325
37,-121.212,-73.501
37,-119.919,-73.658
37,-118.724,-73.481
37,-119.292,-73.834
37,-120.232,-74.089
37,-121.623,-74.01
37,-122.622,-73.658
,,
38,-127.283,-73.462
38,-126.558,-73.246
38,-125.56,-73.481
38,-124.032,-73.873
38,-124.619,-73.834
38,-125.912,-73.736
38,-127.283,-73.462
,,
39,165.78,-21.08
39,166.6,-21.7
39,167.12,-22.16
39,166.74,-22.4
39,166.19,-22.13
39,165.474,-21.68
39,164.83,-21.15
39,164.168,-20.445
39,164.03,-20.106
39,164.46,-20.12
39,165.02,-20.46
39,165.46,-20.8
39,165.78,-21.08
,,
40,152.64,-3.66
