time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-03-05T20:29:29.440Z,34.7351667,-116.4321667,-0.967,1.83,ml,19,56,0.113,0.31,ci,ci37110303,2016-03-12T02:45:04.047Z,"25km W of Ludlow, CA",quarry blast,0.63,31.61,0.152,31,reviewed,ci,ci
2015-03-05T22:12:27.510Z,33.8418333,-117.4896667,-0.564,1.66,ml,48,47,0.04443,0.23,ci,ci37110455,2016-03-11T17:14:29.686Z,"5km SE of Home Gardens, CA",quarry blast,0.27,31.61,0.147,67,reviewed,ci,ci
2015-03-06T18:49:48.160Z,35.0491667,-118.3505,-0.927,1.76,ml,6,125,0.05889,0.04,ci,ci37111455,2016-03-11T11:43:01.286Z,"13km SE of Tehachapi, CA",quarry blast,0.73,31.61,0.33,2,reviewed,ci,ci
2015-03-10T21:31:41.940Z,40.7455,-122.3168333,0.486,1.84,md,25,45,0.2378,0.08,nc,nc72408955,2017-02-07T09:52:21.461Z,"3 km NNE of Mountain Gate, California",quarry blast,0.19,8.17,0.187,30,reviewed,nc,nc
2015-03-10T23:35:31.860Z,35.0411667,-117.6675,-0.807,1.63,ml,19,86,0.1091,0.11,ci,ci37116279,2016-03-11T08:10:22.836Z,"5km NNW of Boron, CA",quarry blast,0.46,1.05,0.129,21,reviewed,ci,ci
2015-03-11T21:46:33.900Z,37.3223333,-122.0998333,-0.343,1.55,md,22,54,0.01261,0.06,nc,nc72409600,2017-02-07T10:01:49.364Z,"3 km S of Loyola, California",quarry blast,0.14,31.61,0.289,22,reviewed,nc,nc
2015-03-12T21:11:25.340Z,32.7716667,-116.8943333,-0.281,1.58,ml,20,114,0.05417,0.19,ci,ci37118319,2016-03-11T15:22:23.730Z,"5km NE of Rancho San Diego, CA",quarry blast,0.61,31.61,0.187,7,reviewed,ci,ci
2015-03-12T23:11:45.970Z,34.6281667,-117.1091667,-1.039,1.7,ml,30,102,0.1939,0.13,ci,ci37118463,2016-03-12T00:54:39.391Z,"16km NNE of Apple Valley, CA",quarry blast,0.4,31.61,0.142,30,reviewed,ci,ci
2015-03-16T23:35:35.130Z,35.0373333,-117.6826667,-0.827,1.97,ml,22,57,0.1033,0.22,ci,ci37340464,2016-03-11T09:57:17.290Z,"5km NW of Boron, CA",quarry blast,0.46,31.61,0.224,61,reviewed,ci,ci
2015-03-17T20:30:17.010Z,33.8498333,-117.5118333,-0.592,1.5,ml,33,80,0.06433,0.22,ci,ci37341312,2016-03-11T11:44:02.199Z,"3km SSE of Home Gardens, CA",quarry blast,0.43,31.61,0.101,17,reviewed,ci,ci
2015-03-17T23:35:49.360Z,35.0446667,-117.6641667,-0.827,1.73,ml,27,87,0.1131,0.15,ci,ci37341536,2016-03-12T02:46:07.193Z,"5km NNW of Boron, CA",quarry blast,0.43,31.61,0.121,20,reviewed,ci,ci
2015-03-18T19:31:01.120Z,33.8395,-117.4921667,-0.466,1.65,ml,48,64,0.04501,0.21,ci,ci37342232,2016-03-11T04:34:14.404Z,"5km SSE of Home Gardens, CA",quarry blast,0.35,0.81,0.144,41,reviewed,ci,ci
2015-03-19T16:05:32.210Z,39.5633333,-121.5561667,-0.235,1.86,md,10,150,0.04414,0.08,nc,nc72413910,2017-02-07T11:05:41.940Z,"5 km N of Oroville, California",quarry blast,0.9,31.61,0.264,18,reviewed,nc,nc
2015-03-20T01:20:11.240Z,37.1118333,-119.8101667,-1.093,1.9,md,6,130,0.06757,0.03,nc,nc72414145,2017-02-07T11:10:05.109Z,"9 km SSW of Yosemite Lakes, California",quarry blast,0.25,31.61,0.124,14,reviewed,nc,nc
2015-03-20T20:04:54.560Z,33.85,-117.5183333,-0.519,1.78,ml,42,71,0.04385,0.17,ci,ci37344360,2016-03-11T09:57:36.191Z,"3km S of Home Gardens, CA",quarry blast,0.32,31.61,0.142,42,reviewed,ci,ci
2015-03-23T17:45:30.400Z,35.0436667,-118.322,-0.744,1.51,ml,14,93,0.05532,0.1,ci,ci37346728,2016-03-12T00:55:40.862Z,"14km W of Mojave, CA",quarry blast,0.45,31.61,0.16,3,reviewed,ci,ci
2015-03-23T23:31:21.800Z,35.0466667,-117.6635,-0.899,1.65,ml,11,119,0.1152,0.06,ci,ci37346944,2016-03-11T06:24:00.805Z,"5km NNW of Boron, CA",quarry blast,0.61,31.61,0.133,17,reviewed,ci,ci
2015-03-24T20:24:10.430Z,37.323,-122.1056667,-0.34,1.76,md,10,90,0.01532,0.03,nc,nc72416895,2017-02-07T11:51:16.185Z,"3 km S of Loyola, California",quarry blast,0.2,31.61,0.332,6,reviewed,nc,nc
2015-03-25T23:38:25.440Z,35.0456667,-117.6638333,-0.797,1.9,ml,25,80,0.1142,0.12,ci,ci37348872,2016-03-12T02:46:41.642Z,"5km NNW of Boron, CA",quarry blast,0.33,31.61,0.193,32,reviewed,ci,ci
2015-03-27T18:02:15.390Z,33.052,-114.9825,-0.157,1.5,ml,8,87,0.07965,0.23,ci,ci37350968,2016-03-11T02:45:15.223Z,"46km NNW of Los Algodones, B.C., MX",quarry blast,0.89,31.61,0.164,3,reviewed,ci,ci
2015-03-30T21:31:57.600Z,33.8508333,-117.5086667,-0.519,1.93,ml,43,63,0.05018,0.19,ci,ci37352920,2016-03-11T06:24:41.244Z,"3km SSE of Home Gardens, CA",quarry blast,0.35,31.61,0.133,48,reviewed,ci,ci
2015-03-31T23:31:54.470Z,35.0561667,-117.6545,1.28,1.55,ml,9,280,0.1262,0.23,ci,ci37353760,2016-03-11T02:45:29.420Z,"6km N of Boron, CA",quarry blast,1.89,31.61,0.121,4,reviewed,ci,ci
2015-04-01T19:04:25.210Z,36.7488333,-121.595,-0.21,1.51,md,35,66,0.02883,0.12,nc,nc72424581,2017-02-07T13:02:18.818Z,Central California,quarry blast,0.2,31.61,0.22,34,reviewed,nc,nc
2015-04-01T22:03:21.300Z,33.0775,-115.0055,-0.183,1.82,ml,4,254,0.1075,0.23,ci,ci37354440,2016-03-11T06:24:46.492Z,"46km NE of Holtville, CA",quarry blast,1.64,31.61,0.213,2,reviewed,ci,ci
2015-04-02T22:38:18.780Z,35.4345,-120.5766667,-0.484,1.61,md,48,55,0.03694,0.08,nc,nc72425436,2022-07-28T06:00:03.672Z,"3 km NE of Garden Farms, California",quarry blast,0.11,31.61,0.286,29,reviewed,nc,nc
