site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
BRW,1978,3,1,0,0,0,1978-03-01T00:00:00Z,1978.1616438356164,258872400,341.55,0.88,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,4,1,0,0,0,1978-04-01T00:00:00Z,1978.2465753424656,261550800,341.0,0.38,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,5,1,0,0,0,1978-05-01T00:00:00Z,1978.3287671232877,264142800,340.78,0.28,31,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,6,1,0,0,0,1978-06-01T00:00:00Z,1978.4136986301369,266821200,339.37,1.37,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,7,1,0,0,0,1978-07-01T00:00:00Z,1978.495890410959,269413200,332.18,2.5,29,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,8,1,0,0,0,1978-08-01T00:00:00Z,1978.580821917808,272091600,327.67,1.32,22,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,9,1,0,0,0,1978-09-01T00:00:00Z,1978.6657534246576,274770000,327.48,1.49,24,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,10,1,0,0,0,1978-10-01T00:00:00Z,1978.7479452054797,277362000,332.08,2.95,22,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,11,1,0,0,0,1978-11-01T00:00:00Z,1978.8328767123287,280040400,338.87,0.97,28,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,12,1,0,0,0,1978-12-01T00:00:00Z,1978.9150684931508,282632400,339.39,0.83,28,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,1,1,0,0,0,1979-01-01T00:00:00Z,1979.0,285310800,340.24,1.2,31,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,2,1,0,0,0,1979-02-01T00:00:00Z,1979.0849315068492,287989200,341.41,0.87,28,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,3,1,0,0,0,1979-03-01T00:00:00Z,1979.1616438356164,290408400,342.59,0.54,31,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,4,1,0,0,0,1979-04-01T00:00:00Z,1979.2465753424656,293086800,342.36,0.48,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,5,1,0,0,0,1979-05-01T00:00:00Z,1979.3287671232877,295678800,342.87,0.37,31,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,6,1,0,0,0,1979-06-01T00:00:00Z,1979.4136986301369,298357200,342.02,1.11,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,7,1,0,0,0,1979-07-01T00:00:00Z,1979.495890410959,300949200,333.57,3.71,23,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,8,1,0,0,0,1979-08-01T00:00:00Z,1979.580821917808,303627600,327.74,0.94,20,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,9,1,0,0,0,1979-09-01T00:00:00Z,1979.6657534246576,306306000,329.34,1.8,24,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,10,1,0,0,0,1979-10-01T00:00:00Z,1979.7479452054797,308898000,333.19,1.43,29,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,11,1,0,0,0,1979-11-01T00:00:00Z,1979.8328767123287,311576400,338.24,1.84,29,71.323,-156.611,21.0,11.0,10.0,...
BRW,1979,12,1,0,0,0,1979-12-01T00:00:00Z,1979.9150684931508,314168400,341.62,1.37,27,71.323,-156.611,21.0,11.0,10.0,...
BRW,1980,1,1,0,0,0,1980-01-01T00:00:00Z,1980.0,316846800,342.0,0.48,25,71.323,-156.611,27.46,11.0,16.46,...
BRW,1980,2,1,0,0,0,1980-02-01T00:00:00Z,1980.084699453552,319525200,342.4,0.81,25,71.323,-156.611,27.46,11.0,16.46,...
BRW,1980,3,1,0,0,0,1980-03-01T00:00:00Z,1980.1639344262296,322030800,343.41,0.89,23,71.323,-156.611,27.46,11.0,16.46,...
BRW,1980,4,1,0,0,0,1980-04-01T00:00:00Z,1980.2486338797817,324709200,343.52,0.08,3,71.323,-156.611,27.46,11.0,16.46,...
BRW,1980,5,1,0,0,0,1980-05-01T00:00:00Z,1980.330601092896,327301200,343.28,0.52,16,71.323,-156.611,27.46,11.0,16.46,...
